;D0.2.1.2.1;;;;;G0.2.2.3.2.2.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Categorie;Categorie_id;Data / Section;Source;Lien;Géographie;Géographie_id;Unité;Data sommables / ratio;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Emissions GES;D0.2.1;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;; 521,21 ; 546,72 ; 537,58 ; 511,75 ; 505,71 ; 508,53 ; 519,16 ; 510,17 ; 520,99 ; 511,22 ; 522,02 ; 512,77 ; 496,77 ; 496,42 ; 494,44 ; 496,91 ; 486,98 ; 481,27 ; 477,01 ; 467,60 ; 469,51 ; 443,66 ; 441,70 ; 436,37 ; 410,26 ; 417,26 ; 425,30 ; 438,74 ; 414,71 ; 410,40 ; 368,13 ; 392,58 ; 377,17 ; 352,21 
par gaz à effet de serre;D0.2.1.1;S;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
par secteur;D0.2.1.2;S;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
par combustible;D0.2.1.3;S;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dioxyde de carbone - CO2;D0.2.1.1.1;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;; 377,64 ; 402,20 ; 393,16 ; 369,67 ; 362,61 ; 364,63 ; 374,41 ; 366,71 ; 382,73 ; 377,26 ; 388,28 ; 378,62 ; 364,56 ; 366,09 ; 366,33 ; 370,02 ; 361,12 ; 355,39 ; 349,82 ; 343,45 ; 347,59 ; 324,52 ; 323,04 ; 320,43 ; 294,88 ; 303,02 ; 312,03 ; 325,69 ; 305,61 ; 304,74 ; 266,59 ; 294,21 ; 282,34 ; 259,35 
Méthane - CH4;D0.2.1.1.2;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;; 78,52 ; 78,93 ; 78,99 ; 79,43 ; 82,07 ; 82,80 ; 81,26 ; 79,23 ; 79,16 ; 78,78 ; 79,36 ; 79,46 ; 77,54 ; 76,37 ; 75,07 ; 74,11 ; 73,38 ; 73,28 ; 73,91 ; 72,54 ; 72,22 ; 69,43 ; 68,76 ; 67,00 ; 65,78 ; 65,22 ; 65,22 ; 64,62 ; 63,44 ; 63,09 ; 61,76 ; 60,23 ; 59,01 ; 58,16 
Protoxydes d'azote - N2O;D0.2.1.1.3;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;; 53,89 ; 54,08 ; 54,51 ; 53,45 ; 53,03 ; 54,17 ; 55,51 ; 55,42 ; 49,37 ; 43,99 ; 43,09 ; 42,74 ; 40,34 ; 38,57 ; 37,19 ; 36,91 ; 35,55 ; 35,17 ; 35,03 ; 33,56 ; 30,88 ; 30,30 ; 30,30 ; 29,65 ; 30,62 ; 30,28 ; 29,54 ; 30,58 ; 29,50 ; 28,49 ; 27,27 ; 26,95 ; 25,89 ; 25,37 
Hydrofluorocarbures - HFC;D0.2.1.1.4;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;; 4,23 ; 4,85 ; 4,13 ; 2,44 ; 1,54 ; 1,62 ; 2,88 ; 3,63 ; 3,98 ; 5,00 ; 6,32 ; 7,65 ; 8,90 ; 10,27 ; 11,79 ; 12,88 ; 14,31 ; 15,16 ; 16,29 ; 16,48 ; 17,27 ; 17,95 ; 18,14 ; 18,00 ; 17,84 ; 17,63 ; 17,26 ; 16,61 ; 14,97 ; 12,99 ; 11,51 ; 10,25 ; 9,11 ; 8,50 
Perfluorocarbures - PFC;D0.2.1.1.5;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;; 4,68 ; 4,34 ; 4,43 ; 4,36 ; 3,90 ; 2,76 ; 2,52 ; 2,61 ; 3,05 ; 3,80 ; 2,70 ; 2,39 ; 3,76 ; 3,46 ; 2,37 ; 1,57 ; 1,31 ; 1,05 ; 0,69 ; 0,49 ; 0,54 ; 0,68 ; 0,69 ; 0,58 ; 0,53 ; 0,47 ; 0,58 ; 0,61 ; 0,59 ; 0,53 ; 0,47 ; 0,39 ; 0,32 ; 0,32 
Hexafluorure de soufre - SF6;D0.2.1.1.6;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;; 2,23 ; 2,30 ; 2,34 ; 2,38 ; 2,53 ; 2,56 ; 2,57 ; 2,55 ; 2,67 ; 2,36 ; 2,25 ; 1,88 ; 1,65 ; 1,63 ; 1,66 ; 1,40 ; 1,29 ; 1,18 ; 1,23 ; 1,05 ; 0,98 ; 0,76 ; 0,77 ; 0,70 ; 0,60 ; 0,63 ; 0,66 ; 0,61 ; 0,59 ; 0,53 ; 0,53 ; 0,54 ; 0,48 ; 0,48 
